,Customer ID,Age,Region,Annual Spending
0,CUST001,22,North,1200
1,CUST002,34,South,1500
2,CUST003,45,East,1800
3,CUST004,23,West,1300
4,CUST005,36,North,1700
5,CUST006,50,South,2100
6,CUST007,29,East,1600
7,CUST008,31,West,1400
8,CUST009,40,North,1900
9,CUST010,27,South,1250
10,CUST011,39,East,1550
11,CUST012,42,West,1750
12,CUST013,51,North,2000
13,CUST014,33,South,1350
14,CUST015,25,East,1450
15,CUST016,48,West,1850
16,CUST017,53,North,2200
17,CUST018,28,South,1300
18,CUST019,24,East,1400
19,CUST020,37,West,1650
20,CUST021,41,North,1950
21,CUST022,35,South,1550
22,CUST023,26,East,1350
23,CUST024,32,West,1750
24,CUST025,49,North,2100
25,CUST026,30,South,1450
26,CUST027,38,East,1600
27,CUST028,43,West,1700
28,CUST029,44,North,2050
29,CUST030,46,South,1900
